,model,corr,p_value,local corr,local p_value,ratio,g,color
24,Cb stellate +$K_V1.1$,0.615384615,0.002675523,-1,0.333333333,-1.625,Na,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
25,Cb stellate $\Delta$$K_V1.1$,1,3.91E-20,1,0.333333333,1,K,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
26,Cb stellate $\Delta$$K_V1.1$,-0.305263158,0.063807885,-1,0.333333333,3.275862069,$K_V1.1$,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
27,Cb stellate $\Delta$$K_V1.1$,1,3.91E-20,1,0.333333333,1,Leak,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
28,Cb stellate $\Delta$$K_V1.1$,-1,3.00E-10,-1,0.333333333,1,Na,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
29,STN,-1,3.91E-20,-1,0.333333333,1,K,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
30,STN,-1,3.91E-20,-1,0.333333333,1,A,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
31,STN,-0.923809524,0,-1,0.333333333,1.082474227,Leak,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
32,STN,-1,3.91E-20,-1,0.333333333,1,Na,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
33,STN +$K_V1.1$,0.180952381,0.267491085,1,0.333333333,5.52631579,K,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
34,STN +$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,$K_V1.1$,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
35,STN +$K_V1.1$,-0.666666667,5.32E-06,-1,0.333333333,1.5,A,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
36,STN +$K_V1.1$,0.971428571,6.85E-17,1,0.333333333,1.029411765,Leak,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
37,STN +$K_V1.1$,-0.40952381,0.009020135,-1,0.333333333,2.441860465,Na,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
38,STN $\Delta$$K_V1.1$,-0.514285714,0.000797418,1,0.333333333,-1.944444444,K,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
39,STN $\Delta$$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,$K_V1.1$,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
40,STN $\Delta$$K_V1.1$,1,3.91E-20,1,0.333333333,1,Leak,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
41,STN $\Delta$$K_V1.1$,-0.228571429,0.157566937,-1,0.333333333,4.375,Na,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
0,RS pyramidal,1,0,1,0.333333333,1,K,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
1,RS pyramidal,1,3.91E-20,1,0.333333333,1,Leak,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
2,RS pyramidal,-1,0,-1,0.333333333,1,Na,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
3,RS inhibitory,-1,4.20E-09,-1,0.333333333,1,K,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
4,RS inhibitory,-0.876190476,0,0.333333333,1,-0.380434783,Leak,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
5,RS inhibitory,0.309090909,0.218346511,1,0.333333333,3.235294118,Na,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
6,FS,0.876190476,0,1,0.333333333,1.141304348,K,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
7,FS,1,3.91E-20,1,0.333333333,1,Leak,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
8,FS,-1,3.91E-20,-1,0.333333333,1,Na,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
